garment_type,order_quantity,num_stitch_operations,target_sewing_time_mins
Hoodie,960,22,3149.04
Trouser,4526,12,7237.47
Jeans,3019,14,5223.27
Kurti,1284,13,2134.4
Blazer,574,24,2902.69
Kurti,3990,16,6406.33
Hoodie,2535,16,8029.2
Kurti,1463,13,2396.13
Hoodie,2656,22,7828.74
Jeans,3173,17,6391.06
Uniform,3943,17,7656.07
Uniform,2081,15,4449.26
Jacket,3898,28,19939.43
Kurti,4987,11,8665.13
Blazer,2162,22,9784.64
Jacket,1595,30,7153.86
Jacket,4614,20,19795.82
Hoodie,300,19,897.91
Hoodie,2554,21,7724.11
Trouser,2790,10,4236.45
Hoodie,4593,22,13194.78
Trouser,963,10,1345.22
Jeans,1857,16,3536.83
Jeans,1822,14,3245.67
Shirt,2829,12,2688.5
Jeans,2081,14,3826.49
Hoodie,3402,21,9787.22
Jeans,1382,18,2586.29
Blazer,4513,26,24906.0
Dress,3843,14,8659.46
T-Shirt,4759,8,2565.63
T-Shirt,3099,5,1624.15
Shirt,4837,11,4311.76
Trouser,1807,11,2894.63
Hoodie,3610,18,10541.38
Kurti,3031,11,4916.97
T-Shirt,3372,8,1982.66
Jeans,1469,14,3008.01
Jeans,3011,18,5714.82
Shirt,3019,8,2946.57
Blazer,4161,24,20332.5
T-Shirt,3823,5,2274.61
Hoodie,2156,16,6087.86
Jacket,3291,20,14223.75
T-Shirt,1545,8,920.42
Dress,3334,18,7675.04
T-Shirt,4593,5,2404.18
Trouser,4596,10,6652.51
Trouser,4665,15,6902.47
Dress,3454,16,8700.82
T-Shirt,1059,5,518.06
Trouser,3220,10,5124.74
Kurti,2665,12,4504.99
Kurti,706,12,1257.65
Jeans,290,16,547.61
Shirt,1916,9,1992.17
Uniform,1995,17,3934.43
Shirt,4157,8,4092.42
Blazer,4441,28,23262.32
Blazer,2555,28,13969.94
Jeans,2468,17,5244.69
Shirt,2874,10,2762.83
Dress,1815,15,4494.33
T-Shirt,3224,8,1753.6
Kurti,4969,14,7812.93
Jacket,4464,21,19056.46
Trouser,4852,12,7108.5
Uniform,4829,12,9520.11
Dress,659,14,1578.3
Dress,2394,16,5450.7
Trouser,2844,14,4046.27
Uniform,2579,16,5441.19
T-Shirt,1857,5,1046.91
Shirt,3351,9,3282.67
Uniform,1731,12,3490.53
Hoodie,4692,19,14535.62
Jeans,1787,15,3388.26
Trouser,3598,14,5729.07
T-Shirt,4013,7,2133.65
Jacket,1725,21,7003.02
Hoodie,3367,17,10343.46
Jeans,828,16,1801.97
Jeans,3565,16,7358.87
Hoodie,2243,22,7681.38
Kurti,3951,10,6359.38
T-Shirt,4052,6,2291.28
Blazer,1465,24,7412.41
Jeans,3677,18,6857.52
Kurti,4591,10,7228.61
Kurti,3082,15,5267.65
Kurti,832,12,1399.1
Dress,1642,19,4245.15
Uniform,3093,14,6630.38
Hoodie,4412,20,14263.27
Dress,3586,16,8931.5
Uniform,3702,18,7997.05
Shirt,1343,9,1348.32
Hoodie,3172,18,9664.95
Blazer,1314,22,5993.16
Uniform,3727,16,8645.43
Kurti,4275,15,7833.3
Trouser,3612,11,4943.51
T-Shirt,3586,5,2048.79
Blazer,1453,29,7871.08
Jacket,767,24,3249.12
Uniform,639,15,1251.34
Jeans,3875,14,7677.48
Jeans,2608,15,4863.51
Trouser,3424,15,5844.21
Shirt,109,9,148.26
Kurti,1115,10,1846.19
Kurti,4258,10,7266.35
T-Shirt,4100,6,2089.87
Kurti,1768,15,3220.29
Hoodie,3736,20,12058.0
Blazer,2148,24,10606.23
Jeans,4644,12,9081.77
Dress,2265,16,5390.56
T-Shirt,1177,8,683.51
Hoodie,3378,20,10683.73
Shirt,2222,10,2311.21
Shirt,1458,10,1286.67
Shirt,1431,8,1317.08
Hoodie,3277,18,10232.38
Jeans,237,12,431.68
Shirt,4400,10,4241.35
Trouser,860,12,1154.21
Jacket,380,22,1779.13
Shirt,4256,9,3780.67
Uniform,4000,17,7901.9
T-Shirt,623,6,365.15
Blazer,2396,30,13896.96
Jacket,4302,20,17280.53
Jeans,2866,18,5717.9
Dress,625,15,1591.96
Uniform,4721,14,9197.46
Hoodie,1746,22,5515.08
Uniform,2006,18,4022.49
Hoodie,4680,19,12812.83
Uniform,225,15,423.4
Jeans,1703,13,3378.6
Dress,4818,14,11243.68
Uniform,2572,16,5311.1
Jacket,2462,25,11370.66
T-Shirt,1560,6,819.42
Jacket,2970,28,12664.34
Trouser,2690,14,4523.29
Jeans,745,17,1397.72
Jacket,4389,30,21396.93
Dress,1241,17,2925.8
T-Shirt,4727,5,2644.99
Dress,1928,19,4481.02
Jeans,2126,14,3690.22
Hoodie,1773,19,5050.18
Jacket,3813,23,15914.58
Jacket,2138,22,8980.13
T-Shirt,1704,6,1021.7
Blazer,2735,24,12934.65
Jacket,3491,25,14307.04
Kurti,1414,14,2220.24
Trouser,177,11,304.87
Shirt,2443,10,2352.27
T-Shirt,4770,7,2724.72
Shirt,2097,12,2200.93
Trouser,3210,12,4747.51
Uniform,2135,17,4911.62
Jeans,2304,17,4893.92
T-Shirt,2343,6,1389.88
Kurti,1965,10,2754.61
Jacket,3328,27,14319.11
Jeans,2991,16,6224.38
Jeans,893,14,1778.78
Jeans,4206,17,9091.31
Uniform,2449,14,4712.71
Jacket,3105,21,13525.43
Jeans,3035,16,6280.14
Uniform,3156,15,6380.8
Jeans,1305,18,2871.41
Dress,4762,16,11503.42
Blazer,301,25,1667.2
Uniform,674,15,1405.51
Shirt,574,9,606.05
Trouser,1305,10,1902.72
T-Shirt,4480,7,2435.29
Uniform,2303,13,4786.64
Jacket,4522,20,18237.25
Hoodie,2582,18,8175.09
T-Shirt,4624,5,2465.27
Jacket,2165,20,9635.73
T-Shirt,2261,6,1201.48
Jeans,3435,16,6199.01
Trouser,2001,11,2903.64
Hoodie,154,19,491.61
Blazer,2906,24,14274.18
Jacket,3410,24,14130.34
Shirt,2243,10,2373.91
Jeans,264,17,517.12
Hoodie,4525,22,15002.26
Kurti,4342,14,7810.08
T-Shirt,3694,6,2231.89
Trouser,4666,13,7557.1
Blazer,3677,27,20907.84
T-Shirt,2861,6,1601.56
T-Shirt,4053,7,2320.48
Blazer,2699,23,14141.39
Jeans,541,16,988.3
Hoodie,904,18,2919.67
Blazer,2181,22,10787.74
Dress,4783,20,11092.04
Dress,4926,15,11739.18
Blazer,554,22,2758.31
Shirt,3167,10,2777.31
Kurti,3463,12,5252.33
Jeans,1236,14,2252.88
Trouser,1433,11,2001.9
Jeans,1862,15,3301.44
Shirt,253,9,225.44
Blazer,160,29,863.22
Hoodie,4326,17,13484.11
Shirt,2422,12,2234.25
T-Shirt,3104,5,1821.35
Jacket,438,27,2073.01
T-Shirt,1850,5,1043.02
Blazer,3826,30,23347.44
Uniform,4906,12,9136.23
Kurti,4332,12,7579.93
Shirt,926,12,914.7
Shirt,1566,9,1521.93
Jacket,2767,21,12619.17
Hoodie,4559,22,13948.31
T-Shirt,3687,5,2097.77
Uniform,1231,17,2647.13
Trouser,3341,11,4425.38
Trouser,913,13,1288.92
T-Shirt,4672,6,2633.38
Blazer,4461,30,24173.47
Jeans,4584,12,8071.78
Shirt,245,12,196.64
T-Shirt,2732,7,1489.1
Uniform,1928,16,3896.13
Dress,906,20,2555.49
Blazer,4967,29,29879.74
Dress,984,16,2324.78
Uniform,1036,12,2227.47
Jacket,3945,24,15955.65
Shirt,949,8,784.5
Trouser,4169,14,6120.59
Kurti,3781,12,6583.23
Trouser,2782,13,4184.69
Blazer,1518,23,7609.33
Dress,4072,15,9617.84
Trouser,1691,11,2498.38
T-Shirt,1385,8,879.07
Blazer,462,30,2822.4
Jeans,4386,14,8841.74
Kurti,3841,16,6148.36
Jeans,3429,17,7222.59
T-Shirt,2164,8,1176.37
Jacket,4870,25,20964.0
Shirt,4002,11,3999.66
Kurti,377,13,591.95
T-Shirt,985,5,475.74
Jacket,2453,23,11010.1
T-Shirt,4099,7,2262.27
Hoodie,3709,17,10402.2
Hoodie,2944,20,8696.54
Shirt,3255,10,3002.6
Kurti,4126,13,6616.99
Blazer,4765,27,24258.67
Jacket,1084,20,4223.84
Jacket,690,30,3559.67
Kurti,3999,11,6530.26
Blazer,2353,28,11864.01
Dress,1116,17,2511.21
Dress,216,15,522.13
Jacket,3960,21,17421.76
Shirt,1489,10,1496.35
Jacket,878,25,4162.25
Blazer,2548,30,14470.72
Jeans,2820,13,5612.3
Shirt,101,8,77.93
Jeans,1017,18,1919.7
Hoodie,189,21,623.81
Trouser,734,15,1170.73
Blazer,2370,30,13838.73
Jeans,4306,14,8262.17
Jeans,307,15,607.3
Blazer,4209,23,19661.76
Hoodie,3695,20,11286.71
Jeans,4880,16,10253.87
Hoodie,2435,18,6807.72
Trouser,3071,11,4349.04
Dress,452,20,1142.5
Jacket,503,24,2183.92
Jeans,1055,13,2093.46
Kurti,3911,11,6384.13
Jeans,1897,18,3721.17
Trouser,629,14,1016.57
Trouser,4989,13,8143.96
Shirt,474,12,483.39
Blazer,2465,27,14294.68
Blazer,3255,23,15201.19
T-Shirt,3038,5,1851.99
T-Shirt,4655,8,2606.73
Hoodie,3474,22,10361.79
Blazer,1380,26,6980.26
T-Shirt,2460,8,1428.77
Kurti,2312,10,3806.82
Jacket,2303,25,9743.99
Shirt,1068,12,1135.44
T-Shirt,1158,6,658.45
Jeans,2840,13,5890.07
Shirt,4412,9,4512.68
Shirt,1018,11,1015.08
Hoodie,4503,17,12491.57
Dress,4712,20,11088.0
Shirt,2574,9,2215.44
Jacket,4052,30,21110.45
Jeans,3172,14,6642.43
Blazer,3773,23,21235.48
Dress,674,14,1658.85
Jeans,3781,16,7868.21
Jeans,1737,14,3562.02
Trouser,1488,12,2178.15
Dress,554,14,1272.75
Kurti,4086,13,6805.38
T-Shirt,4500,8,2593.1
Uniform,1061,17,2305.28
Kurti,3965,11,6220.62
Kurti,3122,13,5040.64
Hoodie,2645,19,8754.23
Trouser,3954,13,6509.66
Dress,4982,15,10893.76
Trouser,205,13,393.86
Shirt,4116,12,4008.45
Uniform,3754,18,7521.67
Uniform,544,13,1163.66
Dress,1508,17,3300.64
Uniform,3038,16,6548.12
Blazer,3197,30,18429.36
Jacket,2525,28,12611.97
Uniform,1416,15,2835.17
Trouser,3783,13,5933.6
Uniform,3140,18,6971.42
T-Shirt,582,8,356.49
Kurti,2566,13,3952.23
Uniform,1068,17,2370.26
Shirt,4006,9,3680.87
Hoodie,4108,16,10805.7
Jeans,1341,17,2722.07
Hoodie,4231,20,14041.41
Dress,2572,20,5892.85
T-Shirt,3813,8,2351.4
Dress,1835,15,4401.92
Uniform,441,17,815.86
Trouser,2501,15,3731.8
Dress,3983,15,10189.42
Blazer,4506,30,26830.05
